,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
17897,14906,M,20040705,기타,,A04-00,A06-00
17898,17274,M,20040705,기타,미혼,A04-00,A06-01
17899,5355,F,20040706,"대학(원)생,예비창업자",미혼,A04-01,A06-01
17900,10531,F,20040706,기타,미혼,A04-00,A06-01
17901,6290,M,20040707,False,,A04-00,A06-00
17902,8687,M,20040707,기타,미혼,A04-00,A06-01
17903,13093,M,20040707,기타,미혼,A04-00,A06-01
17904,7296,M,20040708,False,,A04-00,A06-00
17905,7297,M,20040708,False,,A04-00,A06-00
17906,14754,F,20040708,기타,미혼,A04-00,A06-01
17907,8162,M,20040709,기타,미혼,A04-00,A06-01
17908,16846,M,20040709,기타,,A04-00,A06-00
17909,19474,M,20040709,기타,미혼,A04-00,A06-01
17910,23088,F,20040709,기타,미혼,A04-00,A06-01
17911,7163,F,20040710,기타,미혼,A04-00,A06-01
17912,8680,M,20040710,기타,미혼,A04-00,A06-01
17913,9832,M,20040710,기타,미혼,A04-00,A06-01
17914,12952,F,20040710,기타,미혼,A04-00,A06-01
17915,15782,M,20040710,기타,미혼,A04-00,A06-01
17916,15891,F,20040710,기타,미혼,A04-00,A06-01
17917,27726,M,20040710,기타,미혼,A04-00,A06-01
17918,14575,M,20040711,기타,미혼,A04-00,A06-01
17919,15167,M,20040711,기타,미혼,A04-00,A06-01
17920,7368,M,20040712,기타,미혼,A04-00,A06-01
17921,9219,M,20040712,False,,A04-00,A06-00
17922,9658,M,20040712,False,,A04-00,A06-00
17923,10724,F,20040712,기타,미혼,A04-00,A06-01
17924,27140,M,20040712,기타,미혼,A04-00,A06-01
17925,5555,M,20040713,기타,미혼,A04-00,A06-01
17926,7230,F,20040713,대학(원)생,,A04-01,A06-00
17927,8418,M,20040713,기타,미혼,A04-00,A06-01
17928,13884,M,20040713,기타,,A04-00,A06-00
17929,16147,F,20040713,False,,A04-00,A06-00
17930,22592,F,20040713,기타,미혼,A04-00,A06-01
17931,8814,M,20040714,기타,미혼,A04-00,A06-01
17932,9848,F,20040714,기타,미혼,A04-00,A06-01
17933,14285,M,20040714,기타,미혼,A04-00,A06-01
17934,21334,M,20040714,근로자,미혼,A04-03,A06-01
17935,28180,F,20040714,기타,미혼,A04-00,A06-01
17936,6748,M,20040715,기타,미혼,A04-00,A06-01
17937,12455,F,20040715,기타,미혼,A04-00,A06-01
17938,12720,M,20040715,False,,A04-00,A06-00
17939,16570,M,20040715,False,,A04-00,A06-00
17940,5984,M,20040716,기타,미혼,A04-00,A06-01
17941,6760,M,20040716,기타,,A04-00,A06-00
17942,7151,M,20040716,"프리랜서,기타",미혼,A04-07,A06-01
17943,8929,M,20040716,기타,미혼,A04-00,A06-01
17944,9100,M,20040716,기타,미혼,A04-00,A06-01
17945,9129,F,20040716,기타,미혼,A04-00,A06-01
17946,9156,F,20040716,대학(원)생,미혼,A04-01,A06-01
17947,12858,M,20040716,기타,미혼,A04-00,A06-01
17948,18984,M,20040716,기타,,A04-00,A06-00
17949,22441,F,20040716,기타,,A04-00,A06-00
17950,26282,F,20040716,기타,미혼,A04-00,A06-01
17951,8840,M,20040717,기타,미혼,A04-00,A06-01
17952,9753,M,20040717,기타,미혼,A04-00,A06-01
17953,11401,M,20040717,기타,미혼,A04-00,A06-01
17954,14096,M,20040717,기타,미혼,A04-00,A06-01
17955,13003,M,20040718,기타,미혼,A04-00,A06-01
17956,13491,M,20040718,기타,미혼,A04-00,A06-01
17957,25036,F,20040718,기타,미혼,A04-00,A06-01
17958,7197,M,20040719,기타,미혼,A04-00,A06-01
17959,7554,M,20040719,기타,미혼,A04-00,A06-01
17960,9813,M,20040719,기타,미혼,A04-00,A06-01
17961,6745,F,20040720,기타,미혼,A04-00,A06-01
17962,6860,F,20040720,기타,미혼,A04-00,A06-01
17963,6970,F,20040720,근로자,미혼,A04-03,A06-01
17964,12519,M,20040720,기타,미혼,A04-00,A06-01
17965,27828,F,20040720,기타,미혼,A04-00,A06-01
17966,5018,F,20040721,기타,,A04-00,A06-00
17967,21429,F,20040721,기타,미혼,A04-00,A06-01
17968,23419,M,20040721,False,,A04-00,A06-00
17969,27240,M,20040721,기타,미혼,A04-00,A06-01
17970,9482,F,20040722,False,,A04-00,A06-00
17971,14069,M,20040722,기타,미혼,A04-00,A06-01
17972,7645,M,20040723,기타,,A04-00,A06-00
17973,9047,M,20040723,대학(원)생,미혼,A04-01,A06-01
17974,9371,F,20040723,기타,미혼,A04-00,A06-01
17975,9589,M,20040724,기타,미혼,A04-00,A06-01
17976,16642,M,20040725,기타,미혼,A04-00,A06-01
17977,25218,F,20040725,기타,미혼,A04-00,A06-01
17978,9231,M,20040726,기타,기혼,A04-00,A06-02
17979,10520,M,20040726,False,,A04-00,A06-00
17980,10780,M,20040726,기타,미혼,A04-00,A06-01
17981,11760,M,20040726,False,,A04-00,A06-00
17982,22767,F,20040726,기타,미혼,A04-00,A06-01
17983,6038,M,20040727,기타,미혼,A04-00,A06-01
17984,6679,M,20040727,기타,미혼,A04-00,A06-01
17985,6895,M,20040727,기타,미혼,A04-00,A06-01
17986,7745,M,20040727,False,,A04-00,A06-00
17987,8332,F,20040727,기타,미혼,A04-00,A06-01
17988,8850,M,20040727,기타,미혼,A04-00,A06-01
17989,8851,M,20040727,기타,미혼,A04-00,A06-01
17990,9131,F,20040727,기타,미혼,A04-00,A06-01
17991,18615,M,20040727,기타,미혼,A04-00,A06-01
17992,27749,M,20040727,기타,미혼,A04-00,A06-01
17993,8879,F,20040728,기타,미혼,A04-00,A06-01
17994,10336,F,20040728,기타,미혼,A04-00,A06-01
